#system	nodestatus	realm	custtag	role	eihostname	hostenv	systemtype	oslevel
ac0238a	LIVE	g.ei.p1	SHARED	CYCLADES	ac0238a	PRD	APPLIANCE.CYCLADES	
ac0239a	LIVE	g.ei.p1	SHARED	CYCLADES	ac0239a	PRD	APPLIANCE.CYCLADES	
ac0820a	BAD	r.mt.p1	IBM	NETSCALER.IBM.WWW;NETSCALER.RZ;NETSCALER.WWSM;NETSCALER;NETSCALER.OTHER	ac0820a	PRD	APPLIANCE.NETSCALER	
ac0821a	BAD	r.mt.p1	IBM	NETSCALER.IBM.WWW;NETSCALER.RZ;NETSCALER.WWSM;NETSCALER;NETSCALER.OTHER	ac0821a	PRD	APPLIANCE.NETSCALER	
ac0822a	BAD	r.mt.p1	IBM	NETSCALER.IBM.WWW;NETSCALER.RZ;NETSCALER.WWSM;NETSCALER;NETSCALER.OTHER	ac0822a	PRD	APPLIANCE.NETSCALER	
ac0823a	BAD	r.mt.p1	IBM	NETSCALER.IBM.WWW;NETSCALER.RZ;NETSCALER.WWSM;NETSCALER;NETSCALER.OTHER	ac0823a	PRD	APPLIANCE.NETSCALER	
at1104	BAD	g.ei.p1	SHARED	RETIRED	at1104	PRD	SERVER.P6-550	
at1104a	BAD	g.ei.p1	SHARED	VIO;RETIRED	at1104a	PRD	APPLIANCE.P6-550.LPAR	VIOS 2.2.2.3
at1105	BAD	g.ei.p1	SHARED	RETIRED	at1105	PRD	SERVER.P6-550	
at1105a	BAD	g.ei.p1	SHARED	VIO;RETIRED	at1105a	PRD	APPLIANCE.P6-550.LPAR	VIOS 2.2.2.3
gc0238a	LIVE	g.ei.p3	SHARED	CYCLADES	gc0238a	PRD	APPLIANCE.CYCLADES	
gc0239a	LIVE	g.ei.p3	SHARED	CYCLADES	gc0239a	PRD	APPLIANCE.CYCLADES	
gc0319a	BAD	r.mt.p3	IBM	NETSCALER.IBM.WWW;NETSCALER.RZ;NETSCALER.WWSM;NETSCALER;NETSCALER.OTHER	gc0319a	PRD	APPLIANCE.NETSCALER	
gc0320a	BAD	r.mt.p3	IBM	NETSCALER.IBM.WWW;NETSCALER.RZ;NETSCALER.WWSM;NETSCALER;NETSCALER.OTHER	gc0320a	PRD	APPLIANCE.NETSCALER	
gc0321a	BAD	r.mt.p3	IBM	NETSCALER.IBM.WWW;NETSCALER.RZ;NETSCALER.WWSM;NETSCALER;NETSCALER.OTHER	gc0321a	PRD	APPLIANCE.NETSCALER	
gc0322a	BAD	r.mt.p3	IBM	NETSCALER.IBM.WWW;NETSCALER.RZ;NETSCALER.WWSM;NETSCALER;NETSCALER.OTHER	gc0322a	PRD	APPLIANCE.NETSCALER	
p1cibzfw01	LIVE	b.ci.p1	SHARED	FIREWALL.BACKEND;IES.COMPONENT	p1cibzfw01	SPP	NETWORK.ASA5550	
p1cibzfw01a	LIVE	b.ci.p1	SHARED	FIREWALL.BACKEND;IES.COMPONENT	p1cibzfw01a	SPP	NETWORK.ASA5550	
p1cibzrv01	LIVE	b.ci.p1	SHARED	ROUTER.VPN.BACKEND;IES.COMPONENT	p1cibzrv01	SPP	NETWORK.3845	
p1cibzrv02	LIVE	b.ci.p1	SHARED	ROUTER.VPN.BACKEND;IES.COMPONENT	p1cibzrv02	SPP	NETWORK.3845	
p1cigblb01	LIVE	g.ci.p1	SHARED	SLB.PRIMARY	p1cigblb01	SPP	NETWORK.SIADX	ServerIron ADX 1216-4-PREM 12.5.02cT403 ASR12502c
p1cigblb02	LIVE	g.ci.p1	SHARED	SLB.SECONDARY	p1cigblb02	SPP	NETWORK.SIADX	ServerIron ADX 1216-4-PREM 12.5.02cT403 ASR12502c
p1ciizsr01	LIVE	y.ci.p1	SHARED	SWITCH.INTERNAL;ROUTER.INTERNAL	p1ciizsr01	SPP	NETWORK.NEXUS7K	
p1ciizsr02	LIVE	y.ci.p1	SHARED	SWITCH.INTERNAL;ROUTER.INTERNAL	p1ciizsr02	SPP	NETWORK.NEXUS7K	
p1cirylb01	LIVE	y.ci.p1	SHARED	SLB.PRIMARY	p1cirylb01	SPP	NETWORK.SIADX	ServerIron ADX 1216-4-PREM 12.5.02cT403 ASR12502c
p1cirylb02	LIVE	y.ci.p1	SHARED	SLB.SECONDARY	p1cirylb02	SPP	NETWORK.SIADX	ServerIron ADX 1216-4-PREM 12.5.02cT403 ASR12502c
p1cirzfw01	LIVE	r.ci.p1	SHARED	FIREWALL.FRONTEND;IES.COMPONENT	p1cirzfw01	SPP	NETWORK.ASA5550	
p1cirzfw01a	LIVE	r.ci.p1	SHARED	FIREWALL.FRONTEND;IES.COMPONENT	p1cirzfw01a	SPP	NETWORK.ASA5550	
p1cirzrv01	LIVE	r.ci.p1	SHARED	ROUTER.VPN.FRONTEND;IES.COMPONENT	p1cirzrv01	SPP	NETWORK.3845	
p1cirzrv02	LIVE	r.ci.p1	SHARED	ROUTER.VPN.FRONTEND;IES.COMPONENT	p1cirzrv02	SPP	NETWORK.3845	
p1dms01	FLUX	g.ei.p1	SHARED	DNS.MGMT;IP.MGMT	p1dms01	PRD	APPLIANCE.BTDIAMOND-X10	
p1dpa01	LIVE	y.cs.p1	ESC	DATAPOWER	p1dpa01	PRD	APPLIANCE.DATAPOWER	
p1dpa02	LIVE	y.cs.p1	ESC	DATAPOWER	p1dpa02	PRD	APPLIANCE.DATAPOWER	
p1dpa03	LIVE	b.ei.p1	IBM	APIM;DATAPOWER;APIM.GATEWAY.PROD.RUNINT	p1dpa03	PRD	APPLIANCE.DATAPOWER	
p1dpa04	LIVE	b.ei.p1	IBM	APIM;DATAPOWER;APIM.GATEWAY.PROD.RUNINT	p1dpa04	PRD	APPLIANCE.DATAPOWER	
p1dpa05	LIVE	y.ei.p1	IBM	APIM;DATAPOWER;APIM.GATEWAY.PROD.RUNEXT	p1dpa05	PRD	APPLIANCE.DATAPOWER	
p1dpa06	LIVE	y.ei.p1	IBM	APIM;DATAPOWER;APIM.GATEWAY.PROD.RUNEXT	p1dpa06	PRD	APPLIANCE.DATAPOWER	
p1eibzfw01	LIVE	b.ei.p1	SHARED	FIREWALL.BACKEND;IES.COMPONENT	p1eibzfw01	PRD	NETWORK.ASASM	
p1eibzfw01a	LIVE	b.ei.p1	SHARED	FIREWALL.BACKEND;IES.COMPONENT	p1eibzfw01a	PRD	NETWORK.ASASM	
p1eibzrv01	LIVE	b.ei.p1	SHARED	ROUTER.VPN.BACKEND;IES.COMPONENT	p1eibzrv01	PRD	NETWORK.CAT6506E	
p1eibzrv02	LIVE	b.ei.p1	SHARED	ROUTER.VPN.BACKEND;IES.COMPONENT	p1eibzrv02	PRD	NETWORK.CAT6506E	
p1eibzsn01	LIVE	b.ei.p1	SHARED	SNIFFER	p1eibzsn01	PRD	NETWORK.SNIFFER	
p1eiezgl01	LIVE	r.ei.p1	SHARED	GSLB.PRIMARY	p1eiezgl01	PRD	NETWORK.SIADX	ServerIron ADX 1216-4-PREM 12.5.02cT403 ASR12502c
p1eiezgl02	LIVE	r.ei.p1	SHARED	GSLB.SECONDARY	p1eiezgl02	PRD	NETWORK.SIADX	ServerIron ADX 1216-4-PREM 12.5.02cT403 ASR12502c
p1eigblb01	LIVE	g.ei.p1	SHARED	SLB.PRIMARY	p1eigblb01	PRD	NETWORK.SIADX	ServerIron ADX 1216-4-PREM 12.5.02cT403 ASR12502c
p1eigblb02	LIVE	g.ei.p1	SHARED	SLB.SECONDARY	p1eigblb02	PRD	NETWORK.SIADX	ServerIron ADX 1216-4-PREM 12.5.02cT403 ASR12502c
p1eigzqrc01	LIVE	g.ei.p1	SHARED	QRADAR.SIEM	p1eigzqrc01	PRD	NETWORK.QRADAR3124	
p1eigzqrm01	LIVE	g.ei.p1	SHARED	QRADAR.RISKMANAGER	p1eigzqrm01	PRD	NETWORK.QRM.4379Q05	
p1eigzsp01	LIVE	g.ei.p1	SHARED	PROVENTIA.MANAGEMENT.SITEPROTECTOR	p1eigzsp01	PRD	NETWORK.SP3001	
p1eiizgl01	LIVE	b.ei.p1	SHARED	GSLB.PRIMARY	p1eiizgl01	PRD	NETWORK.SIADX	ServerIron ADX 1216-4-PREM 12.5.02cT403 ASR12502c
p1eiizgl02	LIVE	b.ei.p1	SHARED	GSLB.SECONDARY	p1eiizgl02	PRD	NETWORK.SIADX	ServerIron ADX 1216-4-PREM 12.5.02cT403 ASR12502c
p1eiizsr01	LIVE	y.ei.p1	SHARED	SWITCH.INTERNAL;ROUTER.INTERNAL	p1eiizsr01	PRD	NETWORK.NEXUS7K	
p1eiizsr02	LIVE	y.ei.p1	SHARED	SWITCH.INTERNAL;ROUTER.INTERNAL	p1eiizsr02	PRD	NETWORK.NEXUS7K	
p1eirylb01	LIVE	y.ei.p1	SHARED	SLB.PRIMARY	p1eirylb01	PRD	NETWORK.SIADX	ServerIron ADX 1216-4-PREM 12.5.02cT403 ASR12502c
p1eirylb02	LIVE	y.ei.p1	SHARED	SLB.SECONDARY	p1eirylb02	PRD	NETWORK.SIADX	ServerIron ADX 1216-4-PREM 12.5.02cT403 ASR12502c
p1eirzab01	LIVE	r.ei.p1	SHARED	ACTIVE.BYPASS	p1eirzab01	PRD	NETWORK.ABYP-0T-4S-0L-P	
p1eirzab02	LIVE	r.ei.p1	SHARED	ACTIVE.BYPASS	p1eirzab02	PRD	NETWORK.ABYP-0T-4S-0L-P	
p1eirzfw01	LIVE	r.ei.p1	SHARED	FIREWALL.FRONTEND;IES.COMPONENT	p1eirzfw01	PRD	NETWORK.ASASM	
p1eirzfw01a	LIVE	r.ei.p1	SHARED	FIREWALL.FRONTEND;IES.COMPONENT	p1eirzfw01a	PRD	NETWORK.ASASM	
p1eirzips01	LIVE	r.ei.p1	SHARED	IPS	p1eirzips01	PRD	NETWORK.GX5208SFP-V2	
p1eirzips02	LIVE	r.ei.p1	SHARED	IPS	p1eirzips02	PRD	NETWORK.GX5208SFP-V2	
p1eirzlb01	LIVE	r.ei.p1	SHARED	SLB.PRIMARY	p1eirzlb01	PRD	NETWORK.SIADX	ServerIron ADX 1216-4-PREM 12.5.02cT403 ASR12502c
p1eirzlb02	LIVE	r.ei.p1	SHARED	SLB.SECONDARY	p1eirzlb02	PRD	NETWORK.SIADX	ServerIron ADX 1216-4-PREM 12.5.02cT403 ASR12502c
p1eirzr601	BAD	r.ei.p1	SHARED	ROUTER.IPV6.EXTERNAL;RETIRED	p1eirzr601	PRD	NETWORK.2821	
p1eirzr602	BAD	r.ei.p1	SHARED	ROUTER.IPV6.EXTERNAL;RETIRED	p1eirzr602	PRD	NETWORK.2821	
p1eirzrv01	LIVE	r.ei.p1	SHARED	ROUTER.VPN.FRONTEND;IES.COMPONENT	p1eirzrv01	PRD	NETWORK.CAT6506E	
p1eirzrv02	LIVE	r.ei.p1	SHARED	ROUTER.VPN.FRONTEND;IES.COMPONENT	p1eirzrv02	PRD	NETWORK.CAT6506E	
p1eirzsr01	LIVE	r.ei.p1	SHARED	ROUTER.DISTRIB.FRONTEND	p1eirzsr01	PRD	NETWORK.NEXUS7K	
p1eirzsr02	LIVE	r.ei.p1	SHARED	ROUTER.DISTRIB.FRONTEND	p1eirzsr02	PRD	NETWORK.NEXUS7K	
p1eivdcadm01	LIVE	g.ei.p1	SHARED	SWITCH.INTERNAL;ROUTER.INTERNAL	p1eivdcadm01	PRD	NETWORK.NEXUS7K	
p1eivdcadm02	LIVE	g.ei.p1	SHARED	SWITCH.INTERNAL;ROUTER.INTERNAL	p1eivdcadm02	PRD	NETWORK.NEXUS7K	
p1eiyzacs01	LIVE	y.ei.p1	SHARED	NETWORK.AUTH	p1eiyzacs01	PRD	NETWORK.ACS	
p1eiyzacs02	LIVE	y.ei.p1	SHARED	NETWORK.AUTH	p1eiyzacs02	PRD	NETWORK.ACS	
p1eiyzqfc01	LIVE	y.ei.p1	SHARED	QFLOW.COLLECTOR	p1eiyzqfc01	PRD	NETWORK.QRADAR1202	
p1hmc01	LIVE	g.ei.p1	SHARED	HMC.V7.PRIMARY	p1hmc01	PRD	APPLIANCE.HMC	HMC V8R8.3.0.0
p1hmc02	LIVE	g.ei.p1	SHARED	HMC.V7.SECONDARY	p1hmc02	PRD	APPLIANCE.HMC	HMC V8R8.3.0.0
p1ibbzrt01	LIVE	b.ei.p1	SHARED	ROUTER.DISTRIB.BACKEND	p1ibbzrt01	PRD	NETWORK.NEXUS7K	
p1ibbzrt02	LIVE	b.ei.p1	SHARED	ROUTER.DISTRIB.BACKEND	p1ibbzrt02	PRD	NETWORK.NEXUS7K	
p1msa01	LIVE	y.ei.p1	WWSM	MESSAGESIGHT	p1msa01	PRD	APPLIANCE.MESSAGESIGHT	
p1msa01e1	LIVE	y.ei.p1	WWSM	MESSAGESIGHT	p1msa01	PRD	SERVICE	
p1msa01e2	LIVE	y.ei.p1	WWSM	MESSAGESIGHT	p1msa01	PRD	SERVICE	
p1msa02	LIVE	y.ei.p1	WWSM	MESSAGESIGHT	p1msa02	PRD	APPLIANCE.MESSAGESIGHT	
p1msa02e1	LIVE	y.ei.p1	WWSM	MESSAGESIGHT	p1msa02	PRD	SERVICE	
p1msa02e2	LIVE	y.ei.p1	WWSM	MESSAGESIGHT	p1msa02	PRD	SERVICE	
p1nsa06	LIVE	b.ei.p1	SHARED	NETSCALER;NETSCALER.BZ	p1nsa06	PRD	APPLIANCE.NETSCALER	
p1nsa07	LIVE	b.ei.p1	SHARED	NETSCALER;NETSCALER.BZ	p1nsa07	PRD	APPLIANCE.NETSCALER	
p1nsa08	LIVE	b.ei.p1	SHARED	NETSCALER;NETSCALER.BZ	p1nsa08	PRD	APPLIANCE.NETSCALER	
p1nsa09	LIVE	b.ei.p1	SHARED	NETSCALER;NETSCALER.BZ	p1nsa09	PRD	APPLIANCE.NETSCALER	
p1nsa11	LIVE	r.mt.p1	SHARED		p1nsa11	PRD	SERVER.NETSCALER	
p1nsa12	LIVE	r.mt.p1	SHARED		p1nsa12	PRD	SERVER.NETSCALER	
p1nsa13	LIVE	r.mt.p1	SHARED		p1nsa13	PRD	SERVER.NETSCALER	
p1nsamgr11	FLUX	y.cs.p1	SHARED	NETSCALER.MGR	p1nsa11	PRD	APPLIANCE.NETSCALER.MGR	
p1nsamgr12	FLUX	y.cs.p1	SHARED	NETSCALER.MGR	p1nsa12	PRD	APPLIANCE.NETSCALER.MGR	
p1nsamgr13	FLUX	y.cs.p1	SHARED	NETSCALER.MGR	p1nsa13	PRD	APPLIANCE.NETSCALER.MGR	
p1nsaxen11	FLUX	r.mt.p1	SHARED	NETSCALER.XEN	p1nsa11	PRD	APPLIANCE.NETSCALER.XEN	
p1nsaxen12	FLUX	r.mt.p1	SHARED	NETSCALER.XEN	p1nsa12	PRD	APPLIANCE.NETSCALER.XEN	
p1nsaxen13	FLUX	r.mt.p1	SHARED	NETSCALER.XEN	p1nsa13	PRD	APPLIANCE.NETSCALER.XEN	
p1nsc01	BAD	b.ei.p1	SHARED		p1nsc01	PRD	APPLIANCE.NETSCALER.COMCENTER	
p1nsc02	BAD	b.ei.p1	SHARED		p1nsc02	PRD	APPLIANCE.NETSCALER.COMCENTER	
p1san01	LIVE	g.ei.p1	SHARED	SAN	p1san01	PRD	STORAGE.SAN	
p1san02	LIVE	g.ei.p1	SHARED	SAN	p1san02	PRD	STORAGE.SAN	
p1san03	LIVE	g.ei.p1	SHARED	SAN	p1san03	PRD	STORAGE.SAN	
p1san04	LIVE	g.ei.p1	SHARED	SAN	p1san04	PRD	STORAGE.SAN	
p1scn01	LIVE	g.ci.p1	SHARED	AV.ICAP	p1scn01	SPP	APPLIANCE.MCAFEE-MWG4500	
p1scn02	LIVE	g.ci.p1	SHARED	AV.ICAP	p1scn02	SPP	APPLIANCE.MCAFEE-MWG4500	
