9.11.13.132	v20123
9.11.13.134	v20137
9.11.13.225	v20083
9.17.253.135	v30081
9.17.253.156	v30135
9.17.253.158	v30150
9.44.9.194	p1ibbzrt01
9.44.14.137	v10128
9.44.14.147	v10084
9.44.14.153	v10142
9.131.50.134	v50019
9.131.50.135	v50020
9.131.50.136	v50021
9.131.50.141	v50045
9.131.50.232	p5nsc01
9.131.50.233	p5nsc02
10.1.211.248	p1eiizsr02
10.10.12.243	k1eiazsw01
10.10.12.244	k1eiazsw02
10.10.12.245	k1eiazsw03
10.10.12.246	k1eiazsw04
10.10.12.247	k1eiazsw05
10.10.12.248	k1eiazsw06
10.10.12.249	k1eiazsw07
10.10.14.243	k2eiazsw01
10.10.14.244	k2eiazsw02
10.10.14.245	k2eiazsw03
10.10.14.246	k2eiazsw04
10.10.14.247	k2eiazsw05
10.10.14.248	k2eiazsw06
10.10.14.249	k2eiazsw07
10.10.220.230	k1eiap01
10.10.220.231	k1eiap02
10.10.220.232	k1eiap03
10.10.220.233	k1eiap04
10.11.220.230	k2eiap01
10.11.220.231	k2eiap02
10.11.220.232	k2eiap03
10.11.220.233	k2eiap04
10.55.3.1	s3eiyzfw01
10.107.51.129	s1eiyzfw01
10.111.0.10	v10127
10.111.0.11	v10129
10.111.0.15	v10133
10.111.0.21	v10136
10.111.0.23	v10138
10.111.0.24	v10140
10.111.0.99	v10022
10.111.3.104	at1003d
10.111.3.106	at1003b
10.111.3.114	v10065
10.111.3.116	at1004b
10.111.16.13	v10134
10.111.16.23	v10141
10.111.19.192	at1003i
10.111.19.193	at1004i
10.111.64.9	v20122
10.111.64.10	v20124
10.111.64.13	v20128
10.111.64.16	v20131
10.111.64.18	v20133
10.111.64.19	v20135
10.111.64.99	v20024
10.111.67.104	dt1203d
10.111.67.106	dt1203b
10.111.67.114	v20064
10.111.67.116	dt1204b
10.111.80.28	v20136
10.111.80.29	v20129
10.111.83.192	dt1203i
10.111.83.193	dt1204i
10.111.128.23	v30134
10.111.128.24	v30136
10.111.128.27	v30140
10.111.128.30	v30143
10.111.128.32	v30145
10.111.128.33	v30148
10.111.128.99	v30025
10.111.131.104	gt0803d
10.111.131.106	gt0803b
10.111.131.114	v30072
10.111.131.116	gt0804b
10.111.144.24	v30141
10.111.144.29	v30149
10.111.147.192	gt0803i
10.111.147.193	gt0804i
10.111.192.12	v50011
10.111.192.13	v50012
10.111.192.14	v50013
10.111.192.15	v50014
10.111.192.16	v50015
10.111.192.17	v50016
10.111.208.5	v50017
10.111.208.6	v50018
10.112.46.129	s4eiyzfw01
10.118.143.129	s5eiyzfw01
129.42.2.228	p1eirzrv01
129.42.2.229	p1eirzrv02
129.42.2.247	p1eirzsr01
129.42.2.248	p1eirzsr02
129.42.2.251	p1eirzr601
129.42.2.252	p1eirzr602
129.42.4.228	p3eirzrv01
129.42.4.229	p3eirzrv02
129.42.4.247	p3eirzsr01
129.42.4.248	p3eirzsr02
129.42.4.251	p3eirzr601
129.42.4.252	p3eirzr602
129.42.6.228	p2eirzrv01
129.42.6.229	p2eirzrv02
129.42.6.247	p2eirzsr01
129.42.6.248	p2eirzsr02
129.42.6.251	p2eirzr601
129.42.6.252	p2eirzr602
129.42.7.228	p1cirzrv01
129.42.7.229	p1cirzrv02
129.42.8.228	p3cirzrv01
129.42.8.229	p3cirzrv02
129.42.9.228	p2cirzrv01
129.42.9.229	p2cirzrv02
129.42.11.228	p5eirzrv01
129.42.11.229	p5eirzrv02
129.42.11.247	p5eirzsr01
129.42.11.248	p5eirzsr02
129.42.12.220	k1eiazfw01
129.42.12.221	k1eiazfw01a
129.42.12.251	k1eiazrt01
129.42.12.252	k1eiazrt02
129.42.14.220	k2eiazfw01
129.42.14.221	k2eiazfw01a
129.42.14.251	k2eiazrt01
129.42.14.252	k2eiazrt02
172.16.5.220	p2cibzfw01
172.16.5.221	p2cibzfw01a
172.16.6.220	p3cibzfw01
172.16.6.221	p3cibzfw01a
172.16.7.220	p1cibzfw01
172.16.7.221	p1cibzfw01a
172.16.194.72	dt1203c
172.16.194.74	dt1204c
172.16.207.72	gt0803c
172.16.207.74	gt0804c
172.16.212.72	at1003c
172.16.212.74	at1004c
172.16.255.30	p3cibzrv01
172.16.255.50	p2cibzrv01
ITNMP1	v10172
ITNMP2	v20170
ITNMP3	v30175
ITNMP5	v50040
ITNMZ1	z10142
